JFM: 1-90	FMA: 32-120	MAM: 60-151	AMJ: 91-181	MJJ: 121-212	JJA: 152-243	JAS: 182-273	ASO: 213-304	SON: 244-334	OND: 274-365	NDJ: 305-31	DJF: 335-59
0.857 	0.899 	0.920 	0.904 	0.717 	0.654 	0.929 	0.949 	0.928 	0.821 	0.475 	0.522 
0.819 	0.890 	0.919 	0.918 	0.826 	0.712 	0.937 	0.950 	0.938 	0.877 	0.695 	0.643 
0.834 	0.896 	0.925 	0.922 	0.696 	0.636 	0.938 	0.953 	0.927 	0.852 	0.584 	0.605 
0.798 	0.879 	0.913 	0.895 	0.667 	0.634 	0.898 	0.935 	0.914 	0.830 	0.486 	0.545 
0.820 	0.890 	0.898 	0.904 	0.754 	0.670 	0.917 	0.935 	0.909 	0.843 	0.573 	0.622 
0.818 	0.884 	0.909 	0.875 	0.531 	0.466 	0.877 	0.929 	0.911 	0.844 	0.566 	0.581 
0.814 	0.889 	0.924 	0.925 	0.579 	0.547 	0.921 	0.942 	0.904 	0.802 	0.533 	0.595 
0.800 	0.873 	0.903 	0.885 	0.616 	0.494 	0.904 	0.936 	0.897 	0.810 	0.506 	0.553 
0.758 	0.850 	0.851 	0.833 	0.741 	0.606 	0.811 	0.879 	0.856 	0.738 	0.578 	0.620 
0.777 	0.875 	0.920 	0.895 	0.651 	0.421 	0.841 	0.913 	0.904 	0.865 	0.605 	0.524 
0.787 	0.883 	0.915 	0.902 	0.846 	0.718 	0.900 	0.942 	0.909 	0.813 	0.574 	0.588 
0.784 	0.872 	0.868 	0.794 	0.648 	0.640 	0.805 	0.888 	0.875 	0.772 	0.509 	0.635 
0.789 	0.881 	0.894 	0.890 	0.757 	0.597 	0.851 	0.901 	0.898 	0.846 	0.628 	0.596 
0.721 	0.834 	0.883 	0.892 	0.723 	0.541 	0.825 	0.905 	0.891 	0.841 	0.543 	0.456 
0.720 	0.831 	0.878 	0.878 	0.724 	0.457 	0.757 	0.881 	0.881 	0.825 	0.560 	0.504 
0.696 	0.806 	0.802 	0.803 	0.591 	0.444 	0.693 	0.790 	0.829 	0.741 	0.491 	0.464 
0.680 	0.807 	0.848 	0.856 	0.729 	0.465 	0.735 	0.841 	0.850 	0.772 	0.548 	0.494 
