JFM: 1-90	FMA: 32-120	MAM: 60-151	AMJ: 91-181	MJJ: 121-212	JJA: 152-243	JAS: 182-273	ASO: 213-304	SON: 244-334	OND: 274-365	NDJ: 305-31	DJF: 335-59
0.948 	0.985 	1.022 	1.157 	1.012 	1.203 	1.239 	1.097 	0.916 	0.832 	0.925 	0.981 
1.136 	1.195 	1.201 	1.169 	0.920 	0.975 	1.141 	1.171 	1.020 	0.998 	1.413 	1.268 
1.000 	1.132 	1.208 	1.139 	0.902 	0.985 	1.083 	1.026 	0.972 	0.975 	1.354 	1.120 
1.050 	1.047 	1.060 	1.069 	1.049 	1.089 	1.057 	0.980 	0.913 	0.987 	1.260 	1.156 
1.020 	1.141 	1.106 	1.025 	0.828 	0.892 	1.042 	1.084 	1.019 	1.034 	1.253 	1.120 
0.971 	1.068 	1.184 	1.200 	1.106 	1.211 	1.095 	0.966 	0.936 	0.991 	1.276 	1.032 
0.890 	1.001 	1.264 	1.340 	0.983 	1.281 	1.155 	1.023 	0.980 	0.900 	1.092 	0.987 
0.906 	1.042 	1.209 	1.202 	0.950 	0.988 	1.053 	0.980 	0.990 	0.979 	1.195 	0.969 
1.174 	1.327 	1.398 	1.252 	0.991 	1.059 	1.167 	1.368 	1.245 	1.200 	1.517 	1.254 
0.884 	0.934 	1.125 	1.142 	1.001 	1.266 	1.050 	0.916 	0.872 	0.940 	1.175 	1.066 
1.013 	1.143 	1.232 	1.174 	0.950 	1.031 	1.176 	1.274 	1.114 	1.095 	1.256 	1.062 
1.090 	1.293 	1.326 	1.168 	0.986 	1.051 	1.144 	1.343 	1.230 	1.163 	1.290 	1.037 
0.989 	0.980 	0.964 	0.941 	0.935 	1.033 	1.017 	0.959 	0.918 	0.976 	1.080 	1.003 
0.945 	0.945 	0.960 	0.937 	0.945 	1.092 	0.922 	0.870 	0.866 	0.955 	1.152 	1.052 
0.925 	0.922 	0.939 	0.882 	0.788 	0.862 	0.931 	0.875 	0.845 	0.946 	1.082 	1.012 
0.942 	0.878 	0.831 	0.815 	0.900 	1.108 	1.001 	0.937 	0.850 	0.923 	0.943 	0.952 
0.842 	0.884 	0.885 	0.802 	0.721 	0.716 	0.882 	0.862 	0.795 	0.876 	0.921 	0.909 
