JFM: 1-90	FMA: 32-120	MAM: 60-151	AMJ: 91-181	MJJ: 121-212	JJA: 152-243	JAS: 182-273	ASO: 213-304	SON: 244-334	OND: 274-365	NDJ: 305-31	DJF: 335-59
0.223 	0.272 	0.203 	0.128 	0.212 	0.068 	0.126 	0.179 	0.298 	0.199 	0.085 	0.116 
0.326 	0.500 	0.329 	0.405 	0.375 	0.205 	0.573 	0.731 	0.757 	0.491 	0.181 	0.190 
0.256 	0.106 	0.099 	0.391 	0.222 	0.172 	0.327 	0.579 	0.551 	0.345 	0.130 	0.144 
0.248 	0.130 	0.167 	0.273 	0.163 	0.061 	0.147 	0.348 	0.486 	0.423 	0.213 	0.259 
0.449 	0.429 	0.390 	0.387 	0.354 	0.102 	0.205 	0.593 	0.782 	0.747 	0.377 	0.453 
0.262 	0.168 	0.304 	0.477 	0.085 	0.077 	0.382 	0.358 	0.341 	0.278 	0.191 	0.156 
0.505 	0.464 	0.345 	0.336 	0.154 	0.170 	0.416 	0.646 	0.567 	0.485 	0.269 	0.138 
0.341 	0.225 	0.253 	0.314 	0.175 	0.183 	0.374 	0.572 	0.340 	0.213 	0.139 	0.150 
0.495 	0.617 	0.672 	0.530 	0.158 	0.109 	0.517 	0.718 	0.782 	0.615 	0.286 	0.321 
0.149 	0.208 	0.217 	0.170 	0.099 	0.182 	0.260 	0.246 	0.306 	0.319 	0.207 	0.190 
0.586 	0.439 	0.289 	0.272 	0.136 	0.321 	0.472 	0.631 	0.725 	0.474 	0.187 	0.372 
0.376 	0.265 	0.440 	0.552 	0.224 	0.088 	0.476 	0.652 	0.623 	0.476 	0.334 	0.342 
0.516 	0.611 	0.550 	0.362 	0.306 	0.373 	0.366 	0.518 	0.565 	0.513 	0.317 	0.274 
0.492 	0.354 	0.297 	0.196 	0.196 	0.225 	0.458 	0.386 	0.406 	0.481 	0.438 	0.494 
0.474 	0.348 	0.230 	0.112 	0.182 	0.295 	0.396 	0.330 	0.435 	0.520 	0.414 	0.536 
0.281 	0.351 	0.422 	0.356 	0.201 	0.173 	0.265 	0.384 	0.215 	0.252 	0.237 	0.247 
0.422 	0.321 	0.205 	0.025 	0.173 	0.256 	0.236 	0.266 	0.340 	0.430 	0.420 	0.499 
