JFM: 1-90	FMA: 32-120	MAM: 60-151	AMJ: 91-181	MJJ: 121-212	JJA: 152-243	JAS: 182-273	ASO: 213-304	SON: 244-334	OND: 274-365	NDJ: 305-31	DJF: 335-59
1.380 	0.945 	0.755 	0.870 	0.873 	0.911 	0.825 	0.899 	1.014 	0.977 	1.006 	1.497 
2.310 	1.284 	0.841 	0.933 	1.145 	1.089 	1.048 	1.112 	1.201 	1.658 	2.250 	3.123 
2.546 	1.472 	1.002 	0.815 	0.876 	0.865 	0.974 	1.168 	1.554 	2.101 	2.984 	3.694 
1.463 	1.108 	0.955 	0.950 	0.999 	0.940 	0.897 	0.933 	1.234 	1.767 	2.206 	1.697 
2.886 	1.567 	1.376 	1.224 	1.547 	1.514 	1.199 	1.404 	1.645 	2.345 	3.158 	3.524 
1.260 	1.070 	1.046 	1.113 	1.070 	1.037 	0.997 	0.993 	1.081 	1.343 	1.733 	1.488 
2.221 	1.582 	1.024 	1.062 	1.160 	1.330 	1.121 	1.093 	1.222 	1.704 	1.751 	2.443 
1.746 	1.360 	1.061 	0.905 	0.803 	0.788 	0.801 	0.935 	1.289 	1.497 	1.842 	2.797 
2.603 	1.627 	0.934 	0.796 	0.748 	0.780 	0.830 	0.953 	1.045 	1.548 	3.155 	3.369 
1.196 	1.071 	1.012 	0.788 	0.808 	0.817 	0.800 	0.748 	0.920 	1.458 	1.547 	1.331 
2.208 	1.975 	1.245 	1.075 	0.924 	0.823 	0.890 	0.966 	0.922 	1.336 	1.808 	2.122 
2.342 	1.738 	1.312 	1.105 	0.971 	1.157 	1.171 	1.188 	1.311 	1.557 	2.012 	2.455 
1.499 	0.965 	0.889 	0.921 	1.191 	1.171 	1.027 	0.972 	1.147 	1.344 	1.842 	2.155 
1.266 	1.126 	1.186 	1.009 	0.944 	0.904 	0.802 	0.862 	1.031 	1.093 	1.088 	1.181 
1.132 	1.253 	1.115 	0.831 	0.783 	0.774 	0.952 	0.833 	0.930 	0.945 	0.907 	0.956 
0.708 	0.803 	0.822 	0.665 	0.562 	0.695 	0.711 	0.635 	0.712 	0.638 	0.659 	0.635 
1.209 	1.388 	1.223 	1.006 	0.959 	0.825 	0.825 	0.919 	1.063 	1.223 	1.089 	1.040 
